time,word,status
2025-01-29 17:09:17.041979,один,1
2025-01-29 17:09:22.467307,четыре,1
2025-01-29 17:09:27.730955,три,1
2025-01-29 17:09:32.715687,два,0
2025-01-29 17:09:39.894824,пять сот,0
2025-01-29 17:09:48.054085,пять сот,1
